ProductID,ProductName,Category,UnitPrice
PROD-1,Item_001,Books,50.71
PROD-2,Item_002,Apparel,351.75
PROD-3,Item_003,Home Decor,1199.24
PROD-4,Item_004,Fitness,47.85
PROD-5,Item_005,Kitchenware,488.65
PROD-6,Item_006,Toys,924.35
PROD-7,Item_007,Toys,1110.5
PROD-8,Item_008,Office Supplies,1065.73
PROD-9,Item_009,Fitness,783.44
PROD-10,Item_010,Kitchenware,270.81
PROD-11,Item_011,Books,894.43
PROD-12,Item_012,Books,391.15
PROD-13,Item_013,Apparel,933.09
PROD-14,Item_014,Kitchenware,840.85
PROD-15,Item_015,Books,910.84
PROD-16,Item_016,Office Supplies,274.99
PROD-17,Item_017,Toys,217.22
PROD-18,Item_018,Toys,1077.28
PROD-19,Item_019,Home Decor,497.69
PROD-20,Item_020,Fitness,316.16
PROD-21,Item_021,Kitchenware,1119.31
PROD-22,Item_022,Books,511.66
PROD-23,Item_023,Fitness,1023.24
PROD-24,Item_024,Toys,419.92
PROD-25,Item_025,Apparel,595.39
PROD-26,Item_026,Apparel,468.93
PROD-27,Item_027,Fitness,150.89
PROD-28,Item_028,Books,135.78
PROD-29,Item_029,Fitness,1108.33
PROD-30,Item_030,Books,1056.96
PROD-31,Item_031,Fitness,11.51
PROD-32,Item_032,Books,1175.77
PROD-33,Item_033,Home Decor,927.04
PROD-34,Item_034,Office Supplies,307.73
PROD-35,Item_035,Kitchenware,295.86
PROD-36,Item_036,Books,87.73
PROD-37,Item_037,Fitness,237.28
PROD-38,Item_038,Toys,491.18
PROD-39,Item_039,Fitness,559.3
PROD-40,Item_040,Home Decor,67.81
PROD-41,Item_041,Office Supplies,399.6
PROD-42,Item_042,Home Decor,674.65
PROD-43,Item_043,Apparel,706.71
PROD-44,Item_044,Books,367.81
PROD-45,Item_045,Office Supplies,230.59
PROD-46,Item_046,Electronics,580.76
PROD-47,Item_047,Fitness,768.65
PROD-48,Item_048,Kitchenware,1117.64
PROD-49,Item_049,Home Decor,707.68
PROD-50,Item_050,Home Decor,801.68
PROD-51,Item_051,Books,342.9
PROD-52,Item_052,Home Decor,228.97
PROD-53,Item_053,Electronics,452.27
PROD-54,Item_054,Toys,1186.06
PROD-55,Item_055,Kitchenware,323.91
PROD-56,Item_056,Kitchenware,745.69
PROD-57,Item_057,Fitness,443.47
PROD-58,Item_058,Fitness,112.23
PROD-59,Item_059,Kitchenware,1090.01
PROD-60,Item_060,Kitchenware,529.45
PROD-61,Item_061,Home Decor,182.98
PROD-62,Item_062,Office Supplies,600.09
PROD-63,Item_063,Kitchenware,21.79
PROD-64,Item_064,Office Supplies,62.33
PROD-65,Item_065,Electronics,1017.64
PROD-66,Item_066,Home Decor,1174.58
PROD-67,Item_067,Electronics,800.82
PROD-68,Item_068,Books,779.95
PROD-69,Item_069,Kitchenware,841.77
PROD-70,Item_070,Toys,713.45
PROD-71,Item_071,Fitness,1167.23
PROD-72,Item_072,Apparel,87.14
PROD-73,Item_073,Electronics,739.76
PROD-74,Item_074,Fitness,429.19
PROD-75,Item_075,Home Decor,223.23
PROD-76,Item_076,Kitchenware,526.16
PROD-77,Item_077,Electronics,638.2
PROD-78,Item_078,Electronics,208.2
PROD-79,Item_079,Office Supplies,755.87
PROD-80,Item_080,Kitchenware,51.38
PROD-81,Item_081,Books,758.69
PROD-82,Item_082,Toys,1142.09
PROD-83,Item_083,Home Decor,1107.1
PROD-84,Item_084,Kitchenware,71.36
PROD-85,Item_085,Home Decor,578.32
PROD-86,Item_086,Books,1098.44
PROD-87,Item_087,Toys,140.39
PROD-88,Item_088,Fitness,742.39
PROD-89,Item_089,Office Supplies,480.04
PROD-90,Item_090,Kitchenware,441.63
PROD-91,Item_091,Office Supplies,994.19
PROD-92,Item_092,Books,571.2
PROD-93,Item_093,Apparel,75.38
PROD-94,Item_094,Electronics,1136.39
PROD-95,Item_095,Books,1023.89
PROD-96,Item_096,Kitchenware,1030.48
PROD-97,Item_097,Apparel,257.89
PROD-98,Item_098,Kitchenware,848.74
PROD-99,Item_099,Toys,549.06
PROD-100,Item_100,Apparel,1088.17
PROD-101,Item_101,Electronics,832.06
PROD-102,Item_102,Toys,119.64
PROD-103,Item_103,Kitchenware,988.74
PROD-104,Item_104,Books,85.34
PROD-105,Item_105,Home Decor,353.8
PROD-106,Item_106,Fitness,415.61
PROD-107,Item_107,Office Supplies,513.47
PROD-108,Item_108,Kitchenware,245.94
PROD-109,Item_109,Home Decor,137.43
PROD-110,Item_110,Toys,753.53
PROD-111,Item_111,Fitness,368.72
PROD-112,Item_112,Books,290.14
PROD-113,Item_113,Kitchenware,1008.26
PROD-114,Item_114,Home Decor,1187.43
PROD-115,Item_115,Books,232.92
PROD-116,Item_116,Toys,747.62
PROD-117,Item_117,Fitness,833.06
PROD-118,Item_118,Books,362.08
PROD-119,Item_119,Kitchenware,607.09
PROD-120,Item_120,Kitchenware,1124.32
PROD-121,Item_121,Kitchenware,633.51
PROD-122,Item_122,Home Decor,899.61
PROD-123,Item_123,Fitness,894.11
PROD-124,Item_124,Office Supplies,316.01
PROD-125,Item_125,Home Decor,653.07
PROD-126,Item_126,Home Decor,802.2
PROD-127,Item_127,Office Supplies,165.32
PROD-128,Item_128,Electronics,216.7
PROD-129,Item_129,Kitchenware,222.13
PROD-130,Item_130,Office Supplies,301.87
PROD-131,Item_131,Home Decor,744.5
PROD-132,Item_132,Toys,1189.51
PROD-133,Item_133,Toys,1152.06
PROD-134,Item_134,Electronics,873.55
PROD-135,Item_135,Home Decor,1046.77
PROD-136,Item_136,Electronics,1076.7
PROD-137,Item_137,Office Supplies,921.88
PROD-138,Item_138,Books,707.09
PROD-139,Item_139,Toys,661.46
PROD-140,Item_140,Books,732.97
PROD-141,Item_141,Electronics,846.52
PROD-142,Item_142,Fitness,818.47
PROD-143,Item_143,Apparel,604.33
PROD-144,Item_144,Office Supplies,47.49
PROD-145,Item_145,Fitness,376.5
PROD-146,Item_146,Electronics,613.1
PROD-147,Item_147,Books,870.16
PROD-148,Item_148,Apparel,761.27
PROD-149,Item_149,Apparel,961.5
PROD-150,Item_150,Apparel,1077.91
PROD-151,Item_151,Books,636.28
PROD-152,Item_152,Office Supplies,1172.25
PROD-153,Item_153,Books,867.21
PROD-154,Item_154,Office Supplies,1153.97
PROD-155,Item_155,Books,611.4
PROD-156,Item_156,Office Supplies,999.16
PROD-157,Item_157,Electronics,437.32
PROD-158,Item_158,Electronics,137.4
PROD-159,Item_159,Toys,1050.53
PROD-160,Item_160,Apparel,373.28
PROD-161,Item_161,Electronics,245.62
PROD-162,Item_162,Kitchenware,787.43
PROD-163,Item_163,Toys,480.41
PROD-164,Item_164,Apparel,931.58
PROD-165,Item_165,Electronics,960.15
PROD-166,Item_166,Apparel,584.57
PROD-167,Item_167,Fitness,792.03
PROD-168,Item_168,Kitchenware,145.15
PROD-169,Item_169,Toys,177.35
PROD-170,Item_170,Kitchenware,301.43
PROD-171,Item_171,Toys,595.15
PROD-172,Item_172,Apparel,878.93
PROD-173,Item_173,Apparel,252.06
PROD-174,Item_174,Home Decor,623.78
PROD-175,Item_175,Home Decor,419.52
PROD-176,Item_176,Electronics,1028.46
PROD-177,Item_177,Books,14.23
PROD-178,Item_178,Electronics,741.33
PROD-179,Item_179,Books,948.08
PROD-180,Item_180,Office Supplies,713.99
PROD-181,Item_181,Fitness,1094.24
PROD-182,Item_182,Books,221.43
PROD-183,Item_183,Home Decor,72.78
PROD-184,Item_184,Electronics,161.67
PROD-185,Item_185,Office Supplies,805.37
PROD-186,Item_186,Apparel,583.1
PROD-187,Item_187,Office Supplies,935.79
PROD-188,Item_188,Toys,579.43
PROD-189,Item_189,Electronics,1066.68
PROD-190,Item_190,Kitchenware,684.61
PROD-191,Item_191,Apparel,32.3
PROD-192,Item_192,Office Supplies,527.16
PROD-193,Item_193,Kitchenware,803.07
PROD-194,Item_194,Books,150.12
PROD-195,Item_195,Home Decor,443.03
PROD-196,Item_196,Office Supplies,1141.53
PROD-197,Item_197,Apparel,5.78
PROD-198,Item_198,Fitness,1198.82
PROD-199,Item_199,Toys,167.72
PROD-200,Item_200,Office Supplies,954.01
