timestamp,energy_kwh,temp_celsius,load_percentage
1/1/2023 10:00 AM,33.64,25.16,16.1
1/1/2023 10:00 PM,26.29,19.49,42.4
1/1/2023 11:00 AM,31.71,23.39,50.0
1/1/2023 11:00 PM,26.73,21.78,82.5
1/1/2023 12:00 AM,30.5,22.7,42.6
1/1/2023 12:00 PM,30.36,23.04,73.6
1/1/2023 1:00 AM,31.94,23.76,15.3
1/1/2023 1:00 PM,26.15,20.36,66.6
1/1/2023 2:00 AM,34.67,24.53,37.9
1/1/2023 2:00 PM,24.42,20.37,14.0
1/1/2023 3:00 AM,37.21,25.21,18.9
1/1/2023 3:00 PM,23.93,18.56,15.8
1/1/2023 4:00 AM,36.73,26.68,74.7
1/1/2023 4:00 PM,22.22,17.34,42.2
1/1/2023 5:00 AM,37.54,27.03,85.8
1/1/2023 5:00 PM,22.76,16.93,33.6
1/1/2023 6:00 AM,39.64,27.45,15.8
1/1/2023 6:00 PM,21.27,16.84,28.6
1/1/2023 7:00 AM,38.56,27.15,86.4
1/1/2023 7:00 PM,21.05,17.38,32.5
1/1/2023 8:00 AM,36.54,26.85,51.8
1/1/2023 8:00 PM,24.74,17.93,74.3
1/1/2023 9:00 AM,36.29,25.27,34.0
1/1/2023 9:00 PM,24.33,18.18,84.3
1/10/2023 10:00 AM,36.32,24.52,53.7
1/10/2023 10:00 PM,27.72,19.78,86.9
1/10/2023 11:00 AM,33.26,23.22,44.6
1/10/2023 11:00 PM,31.17,21.52,25.8
1/10/2023 12:00 AM,31.39,21.66,20.7
1/10/2023 12:00 PM,31.56,22.48,13.5
1/10/2023 1:00 AM,34.0,23.43,86.6
1/10/2023 1:00 PM,30.9,21.81,23.3
1/10/2023 2:00 AM,35.69,24.08,52.4
1/10/2023 2:00 PM,27.57,19.22,45.6
1/10/2023 3:00 AM,37.93,26.61,29.4
1/10/2023 3:00 PM,26.87,17.78,26.7
1/10/2023 4:00 AM,41.44,25.74,50.0
1/10/2023 4:00 PM,25.44,17.63,14.0
1/10/2023 5:00 AM,38.07,26.98,64.4
1/10/2023 5:00 PM,23.95,18.46,77.5
