TransactionID,ProductID,Timestamp,Quantity,CustomerID,Region
TXN-20000,PROD-39,2026-01-01 00:00:00,10,CUST-1382,East
TXN-20001,PROD-171,2026-01-01 02:00:00,5,CUST-1191,East
TXN-20002,PROD-46,2026-01-01 04:00:00,5,CUST-1144,East
TXN-20003,PROD-194,2026-01-01 06:00:00,3,CUST-1020,South
TXN-20004,PROD-147,2026-01-01 08:00:00,9,CUST-1361,West
TXN-20005,PROD-73,2026-01-01 10:00:00,12,CUST-1576,North
TXN-20006,PROD-13,2026-01-01 12:00:00,12,CUST-1842,South
TXN-20007,PROD-143,2026-01-01 14:00:00,3,CUST-1781,North
TXN-20008,PROD-82,2026-01-01 16:00:00,9,CUST-1633,West
TXN-20009,PROD-103,2026-01-01 18:00:00,14,CUST-1343,South
TXN-20010,PROD-121,2026-01-01 20:00:00,4,CUST-1006,North
TXN-20011,PROD-69,2026-01-01 22:00:00,6,CUST-1408,North
TXN-20012,PROD-6,2026-01-02 00:00:00,12,CUST-1131,West
TXN-20013,PROD-152,2026-01-02 02:00:00,6,CUST-1282,East
TXN-20014,PROD-126,2026-01-02 04:00:00,13,CUST-1756,East
TXN-20015,PROD-191,2026-01-02 06:00:00,10,CUST-1032,North
TXN-20016,PROD-109,2026-01-02 08:00:00,13,CUST-1528,East
TXN-20017,PROD-162,2026-01-02 10:00:00,2,CUST-1138,East
TXN-20018,PROD-58,2026-01-02 12:00:00,4,CUST-1120,North
TXN-20019,PROD-157,2026-01-02 14:00:00,10,CUST-1983,East
TXN-20020,PROD-172,2026-01-02 16:00:00,4,CUST-1598,South
TXN-20021,PROD-122,2026-01-02 18:00:00,12,CUST-1770,South
TXN-20022,PROD-23,2026-01-02 20:00:00,12,CUST-1470,East
TXN-20023,PROD-198,2026-01-02 22:00:00,8,CUST-1306,South
TXN-20024,PROD-151,2026-01-03 00:00:00,1,CUST-1136,South
TXN-20025,PROD-71,2026-01-03 02:00:00,14,CUST-1403,East
TXN-20026,PROD-128,2026-01-03 04:00:00,1,CUST-1517,South
TXN-20027,PROD-33,2026-01-03 06:00:00,5,CUST-1181,East
TXN-20028,PROD-155,2026-01-03 08:00:00,2,CUST-1277,West
TXN-20029,PROD-24,2026-01-03 10:00:00,2,CUST-1964,West
TXN-20030,PROD-122,2026-01-03 12:00:00,12,CUST-1468,West
TXN-20031,PROD-36,2026-01-03 14:00:00,14,CUST-1629,East
TXN-20032,PROD-173,2026-01-03 16:00:00,8,CUST-1739,West
TXN-20033,PROD-185,2026-01-03 18:00:00,14,CUST-1317,North
TXN-20034,PROD-175,2026-01-03 20:00:00,13,CUST-1819,East
TXN-20035,PROD-125,2026-01-03 22:00:00,13,CUST-1345,North
TXN-20036,PROD-33,2026-01-04 00:00:00,3,CUST-1469,East
TXN-20037,PROD-83,2026-01-04 02:00:00,13,CUST-1201,South
TXN-20038,PROD-196,2026-01-04 04:00:00,10,CUST-1183,North
TXN-20039,PROD-179,2026-01-04 06:00:00,9,CUST-1820,South
TXN-20040,PROD-36,2026-01-04 08:00:00,13,CUST-1723,South
TXN-20041,PROD-128,2026-01-04 10:00:00,10,CUST-1243,South
TXN-20042,PROD-132,2026-01-04 12:00:00,8,CUST-1527,West
TXN-20043,PROD-40,2026-01-04 14:00:00,8,CUST-1953,West
TXN-20044,PROD-147,2026-01-04 16:00:00,3,CUST-1482,West
TXN-20045,PROD-102,2026-01-04 18:00:00,3,CUST-1275,East
TXN-20046,PROD-169,2026-01-04 20:00:00,4,CUST-1372,South
TXN-20047,PROD-102,2026-01-04 22:00:00,6,CUST-1503,South
TXN-20048,PROD-149,2026-01-05 00:00:00,6,CUST-1130,West
TXN-20049,PROD-126,2026-01-05 02:00:00,14,CUST-1950,South
TXN-20050,PROD-187,2026-01-05 04:00:00,11,CUST-1020,South
TXN-20051,PROD-6,2026-01-05 06:00:00,13,CUST-1405,South
TXN-20052,PROD-92,2026-01-05 08:00:00,7,CUST-1124,East
TXN-20053,PROD-128,2026-01-05 10:00:00,9,CUST-1799,East
TXN-20054,PROD-139,2026-01-05 12:00:00,6,CUST-1994,West
TXN-20055,PROD-169,2026-01-05 14:00:00,6,CUST-1417,South
TXN-20056,PROD-55,2026-01-05 16:00:00,9,CUST-1553,West
TXN-20057,PROD-29,2026-01-05 18:00:00,13,CUST-1425,North
TXN-20058,PROD-166,2026-01-05 20:00:00,8,CUST-1530,South
TXN-20059,PROD-46,2026-01-05 22:00:00,3,CUST-1628,East
TXN-20060,PROD-4,2026-01-06 00:00:00,11,CUST-1715,North
TXN-20061,PROD-3,2026-01-06 02:00:00,9,CUST-1255,South
TXN-20062,PROD-21,2026-01-06 04:00:00,11,CUST-1396,East
TXN-20063,PROD-186,2026-01-06 06:00:00,4,CUST-1642,West
TXN-20064,PROD-100,2026-01-06 08:00:00,1,CUST-1294,South
TXN-20065,PROD-15,2026-01-06 10:00:00,6,CUST-1746,East
TXN-20066,PROD-113,2026-01-06 12:00:00,8,CUST-1857,South
TXN-20067,PROD-90,2026-01-06 14:00:00,6,CUST-1419,North
