mpg,cylinders,displacement,horsepower,weight,acceleration
18.0,8,307,130.0,3504,12.0
15.0,8,350,165.0,3693,11.5
18.0,8,318,150.0,3436,11.0
16.0,8,304,150.0,3433,12.0
17.0,8,302,140.0,3449,10.5
15.0,8,429,198.0,4341,10.0
14.0,8,454,220.0,4354,9.0
14.0,8,440,215.0,4312,8.5
14.0,8,455,225.0,4425,10.0
15.0,8,390,190.0,3850,8.5
15.0,8,383,170.0,3563,10.0
14.0,8,340,160.0,3609,8.0
15.0,8,400,150.0,3761,9.5
14.0,8,455,225.0,3086,10.0
24.0,4,113,95.0,2372,15.0
22.0,6,198,95.0,2833,15.5
18.0,6,199,97.0,2774,15.5
21.0,6,200,85.0,2587,16.0
27.0,4,97,88.0,2130,14.5
26.0,4,97,46.0,1835,20.5
25.0,4,110,87.0,2672,17.5
24.0,4,107,90.0,2430,14.5
25.0,4,104,95.0,2375,17.5
26.0,4,121,113.0,2234,12.5
21.0,6,199,90.0,2648,15.0
10.0,8,360,215.0,4615,14.0
10.0,8,307,200.0,4376,15.0
11.0,8,318,210.0,4382,13.5
9.0,8,304,193.0,4732,18.5
27.0,4,97,88.0,2130,14.5
28.0,4,140,90.0,2264,15.5
25.0,4,113,95.0,2228,14.0
25.0,4,98,,2046,19.0
19.0,6,232,100.0,2634,13.0
16.0,6,225,105.0,3439,15.5
17.0,6,250,100.0,3329,15.5
19.0,6,250,88.0,3302,15.5
18.0,6,232,100.0,3288,15.5
14.0,8,350,165.0,4209,12.0
14.0,8,400,175.0,4464,11.5
14.0,8,351,153.0,4154,13.5
14.0,8,318,150.0,4096,13.0
12.0,8,383,180.0,4955,11.5
13.0,8,400,170.0,4746,12.0
13.0,8,400,175.0,5140,12.0
18.0,6,258,110.0,2962,13.5
22.0,4,140,72.0,2408,19.0
19.0,6,250,100.0,3282,15.0
18.0,6,250,88.0,3139,14.5
23.0,4,122,86.0,2220,14.0
28.0,4,116,90.0,2123,14.0
30.0,4,79,70.0,2074,19.5
30.0,4,88,76.0,2065,14.5
31.0,4,71,65.0,1773,19.0
35.0,4,72,69.0,1613,18.0
27.0,4,97,60.0,1834,19.0
26.0,4,91,70.0,1955,20.5
24.0,4,113,95.0,2278,15.5
25.0,4,98,80.0,2126,17.0
23.0,4,97,54.0,2254,23.5
20.0,4,140,90.0,2408,19.5
21.0,4,122,86.0,2226,16.5
13.0,8,350,165.0,4274,12.0
14.0,8,400,175.0,4385,12.0
15.0,8,318,150.0,4135,13.5
14.0,8,351,153.0,4129,13.0
17.0,8,304,150.0,3672,11.5
11.0,8,429,208.0,4633,11.0
13.0,8,350,155.0,4502,13.5
12.0,8,350,160.0,4456,13.5
13.0,8,400,190.0,4422,12.5
19.0,3,70,97.0,2330,13.5
15.0,8,304,150.0,3892,12.5
13.0,8,307,130.0,4098,14.0
13.0,8,302,140.0,4294,16.0
14.0,8,318,150.0,4077,14.0
18.0,4,121,112.0,2933,14.5
22.0,4,121,76.0,2511,18.0
21.0,4,120,87.0,2979,19.5
26.0,4,96,69.0,2189,18.0
22.0,4,122,86.0,2395,16.0
28.0,4,97,92.0,2288,17.0
23.0,4,120,97.0,2506,14.5
28.0,4,98,80.0,2164,15.0
27.0,4,97,88.0,2100,16.5
13.0,8,350,175.0,4100,13.0
14.0,8,304,150.0,3672,11.5
13.0,8,350,145.0,3988,13.0
14.0,8,302,137.0,4042,14.5
15.0,8,318,150.0,3777,12.5
12.0,8,429,198.0,4952,11.5
13.0,8,400,150.0,4464,12.0
13.0,8,351,158.0,4363,13.0
14.0,8,318,150.0,4237,14.5
13.0,8,440,215.0,4735,11.0
12.0,8,455,225.0,4951,11.0
13.0,8,360,175.0,3821,11.0
18.0,6,225,105.0,3121,16.5
16.0,6,250,100.0,3278,18.0
18.0,6,232,100.0,2945,16.0
18.0,6,250,88.0,3021,16.5
23.0,6,198,95.0,2904,16.0
26.0,4,97,46.0,1950,21.0
11.0,8,400,150.0,4997,14.0
12.0,8,400,167.0,4906,12.5
13.0,8,360,170.0,4654,13.0
12.0,8,350,180.0,4499,12.5
18.0,6,232,100.0,2789,15.0
20.0,4,97,88.0,2279,19.0
21.0,4,140,72.0,2401,19.5
22.0,4,108,94.0,2379,16.5
18.0,3,70,90.0,2124,13.5
19.0,4,122,85.0,2310,18.5
21.0,6,155,107.0,2472,14.0
26.0,4,98,90.0,2265,15.5
15.0,8,350,145.0,4082,13.0
16.0,8,400,230.0,4278,9.5
29.0,4,68,49.0,1867,19.5
24.0,4,116,75.0,2158,15.5
20.0,4,114,91.0,2582,14.0
19.0,4,121,112.0,2868,15.5
15.0,8,318,150.0,3399,11.0
24.0,4,121,110.0,2660,14.0
20.0,6,156,122.0,2807,13.5
11.0,8,350,180.0,3664,11.0
20.0,6,198,95.0,3102,16.5
21.0,6,200,,2875,17.0
19.0,6,232,100.0,2901,16.0
15.0,6,250,100.0,3336,17.0
31.0,4,79,67.0,1950,19.0
26.0,4,122,80.0,2451,16.5
32.0,4,71,65.0,1836,21.0
25.0,4,140,75.0,2542,17.0
16.0,6,250,100.0,3781,17.0
16.0,6,258,110.0,3632,18.0
18.0,6,225,105.0,3613,16.5
16.0,8,302,140.0,4141,14.0
13.0,8,350,150.0,4699,14.5
14.0,8,318,150.0,4457,13.5
14.0,8,302,140.0,4638,16.0
14.0,8,304,150.0,4257,15.5
29.0,4,98,83.0,2219,16.5
26.0,4,79,67.0,1963,15.5
26.0,4,97,78.0,2300,14.5
31.0,4,76,52.0,1649,16.5
32.0,4,83,61.0,2003,19.0
28.0,4,90,75.0,2125,14.5
24.0,4,90,75.0,2108,15.5
26.0,4,116,75.0,2246,14.0
24.0,4,120,97.0,2489,15.0
26.0,4,108,93.0,2391,15.5
31.0,4,79,67.0,2000,16.0
19.0,6,225,95.0,3264,16.0
18.0,6,250,105.0,3459,16.0
15.0,6,250,72.0,3432,21.0
15.0,6,250,72.0,3158,19.5
16.0,8,400,170.0,4668,11.5
15.0,8,350,145.0,4440,14.0
16.0,8,318,150.0,4498,14.5
14.0,8,351,148.0,4657,13.5
17.0,6,231,110.0,3907,21.0
16.0,6,250,105.0,3897,18.5
15.0,6,258,110.0,3730,19.0
18.0,6,225,95.0,3785,19.0
21.0,6,231,110.0,3039,15.0
20.0,8,262,110.0,3221,13.5
13.0,8,302,129.0,3169,12.0
29.0,4,97,75.0,2171,16.0
23.0,4,140,83.0,2639,17.0
20.0,6,232,100.0,2914,16.0
23.0,4,140,78.0,2592,18.5
24.0,4,134,96.0,2702,13.5
25.0,4,90,71.0,2223,16.5
24.0,4,119,97.0,2545,17.0
18.0,6,171,97.0,2984,14.5
29.0,4,90,70.0,1937,14.0
19.0,6,232,90.0,3211,17.0
