Student_ID,Major,Year,Grade Pct
00419,Environmental Sciences,Senior,88.9
05381,Anthropology,Freshman,92.1
33204,Environmental Sciences,Sophomore,83.6
05034,Physics,Sophomore,99.5
90170,International Studies,Freshman,79.9
95287,Physics,Freshman,76.2
38265,Engineering,Senior,69.1
83375,Mathematics,Sophomore,83.6
66684,Biology,Junior,90.4
63071,Neuroscience,Senior,93.2
89613,Public Policy,Senior,80.0
30453,Data Science,Senior,80.2
10603,Engineering,Sophomore,89.6
25796,Mathematics,Sophomore,90.4
99624,Computer Science,Senior,95.1
19470,Mathematics,Sophomore,92.3
11232,Environmental Sciences,Junior,99.5
44103,Data Science,Senior,62.7
04050,Computer Science,Senior,87.3
64924,Environmental Sciences,Senior,58.0
73369,Computer Science,Senior,86.9
84763,Data Science,Freshman,97.3
20805,Biology,Junior,89.8
51697,Environmental Sciences,Junior,83.4
31956,Anthropology,Sophomore,92.3
83016,Chemistry,Senior,89.4
38796,Computer Science,Junior,80.8
37058,Computer Science,Junior,86.6
51553,Chemistry,Senior,85.4
83252,Mathematics,Sophomore,80.6
33901,Business,Junior,71.8
19815,Biology,Freshman,96.2
03359,Physics,Junior,86.7
85747,Chemistry,Senior,98.5
72854,Business,Junior,84.4
32516,Physics,Sophomore,93.2
87646,Chemistry,Sophomore,98.0
10836,Psychology,Junior,91.4
43737,Anthropology,Junior,89.3
81904,Computer Science,Senior,83.0
58153,Business,Freshman,81.6
91283,Data Science,Senior,73.7
90315,Biology,Sophomore,59.8
93624,International Studies,Senior,95.0
52659,International Studies,Sophomore,86.8
29106,Chemistry,Freshman,88.8
74091,Engineering,Sophomore,97.0
88284,Mathematics,Freshman,78.9
88725,Economics,Sophomore,86.0
93360,Engineering,Junior,83.8
21446,Environmental Sciences,Junior,89.3
41057,Public Policy,Senior,81.0
98384,Physics,Senior,89.7
20452,Mathematics,Freshman,91.5
19094,International Studies,Sophomore,70.8
71574,Psychology,Sophomore,90.7
34122,Biology,Sophomore,82.4
09090,Neuroscience,Freshman,87.7
65097,Economics,Senior,91.1
84211,Computer Science,Sophomore,67.2
68203,Public Policy,Sophomore,81.0
12264,Physics,Senior,72.1
53940,Neuroscience,Freshman,80.5
17914,Neuroscience,Junior,87.1
85052,Engineering,Senior,91.0
29187,Anthropology,Sophomore,81.0
53069,Physics,Junior,65.0
11480,Chemistry,Freshman,81.6
70014,Public Policy,Sophomore,80.4
96014,Public Policy,Freshman,76.4
06398,Anthropology,Junior,81.1
82460,International Studies,Freshman,71.8
03478,Environmental Sciences,Senior,93.3
00921,Chemistry,Freshman,86.4
77678,Engineering,Senior,78.7
82493,Anthropology,Senior,82.0
68863,Biology,Junior,81.5
60376,Neuroscience,Freshman,94.1
07641,Computer Science,Junior,67.2
57160,Engineering,Sophomore,85.9
23728,Environmental Sciences,Freshman,81.3
91077,Chemistry,Freshman,96.0
96731,Business,Senior,87.7
96280,Public Policy,Freshman,84.9
02146,Engineering,Freshman,95.8
55159,Business,Senior,75.9
37676,Mathematics,Freshman,86.5
42011,Public Policy,Freshman,81.6
78883,Neuroscience,Sophomore,92.8
68102,Economics,Freshman,78.6
98181,Business,Freshman,76.2
21880,Data Science,Freshman,83.1
07356,Physics,Junior,88.9
51357,Chemistry,Senior,83.7
30129,Psychology,Junior,89.7
44488,Mathematics,Sophomore,78.5
16580,International Studies,Sophomore,72.1
51584,Physics,Freshman,72.3
53980,Mathematics,Junior,90.5
05306,Mathematics,Junior,87.4
