Vehicle ID,Speed (mph),Mass (kg)
QA22,42.5,1441.67
TR80,77.0,1577.65
KA25,63.9,2276.71
AF65,55.9,1475.38
FP80,29.4,1254.24
US31,29.4,1835.2
YI00,23.5,2404.23
WP87,72.0,2044.04
NZ35,56.1,1855.09
VQ85,62.5,1145.76
SB22,21.2,1922.51
CG12,78.2,2485.08
QJ32,69.9,1210.13
GY66,32.7,1777.49
ES13,30.9,2316.06
ZQ56,31.0,2111.15
VU20,38.3,2045.52
IG29,51.5,2053.73
WI63,45.9,1539.24
XL22,37.5,1440.39
OG58,56.7,2214.04
KF95,28.4,2215.17
CB16,37.5,2300.61
UK03,42.0,2369.86
ZN98,47.4,1767.01
AS65,67.1,1752.27
GQ14,32.0,2197.44
LY82,50.9,1974.95
NE98,55.5,2052.95
HQ61,22.8,2193.69
TO75,56.5,2335.01
AI09,30.2,1506.99
WV30,23.9,1563.37
WY04,76.9,1140.97
BT71,77.9,1867.42
MO28,68.5,1053.91
LF57,38.3,1698.4
FI96,25.9,1813.97
LN12,61.1,1429.81
IP22,46.4,1886.25
BQ29,27.3,1045.75
WB26,49.7,1056.02
FD95,22.1,2233.9
MU81,74.6,1540.29
CL44,35.5,1190.59
SR90,59.8,1783.36
KI82,38.7,2154.99
EL42,51.2,1323.73
GY48,52.8,1934.34
OB98,31.1,1128.02
ZY81,78.2,1077.52
MF40,66.5,1797.03
JZ27,76.4,1810.95
LK99,73.7,1956.14
OS12,55.9,2089.14
ZP57,75.3,2463.78
BP58,25.3,1774.45
EY01,31.8,1484.43
PR21,22.7,2192.78
XG56,39.5,1406.25
KP59,43.3,1658.46
FS23,36.3,1117.68
RH37,69.7,1038.03
BL99,41.4,2443.97
BF29,36.9,2253.97
WW31,52.6,2043.96
VS69,28.5,1613.43
RA82,68.1,1259.94
RY11,24.5,1234.66
CO26,79.2,1375.36
SF62,66.3,1823.84
MX80,31.9,2071.89
LH07,20.3,1990.3
QG75,68.9,1419.9
LA08,62.4,2432.3
XO85,63.7,2106.85
DD38,66.3,1831.53
UW82,24.4,1917.58
GC78,41.5,1629.4
KQ19,27.0,1371.6
WZ88,71.8,1533.96
AT39,57.4,2136.77
UW82,39.9,1021.59
UC88,23.8,1174.11
FV43,38.7,1069.0
UF01,39.5,1061.09
IW92,63.8,2283.19
QK95,58.3,2055.49
YC91,73.2,1711.26
ZG14,48.3,1146.75
SI65,27.2,1737.42
KO27,62.8,1710.21
AY57,65.6,1259.8
TR30,53.7,1650.78
RI38,66.3,1597.76
SH34,49.6,1923.78
KH14,51.4,1952.64
YR96,45.7,1067.96
HO02,21.5,1561.92
LP64,26.5,1938.79
LF49,21.9,1754.7
UE05,58.2,2284.73
QI87,38.9,1988.04
RF10,50.5,1244.4
GM80,74.5,1105.85
KQ16,35.0,1963.63
MG60,44.6,1039.77
TU14,65.3,1878.66
EY50,33.7,2410.35
GW48,24.6,1863.21
RZ59,37.4,1582.25
XP75,29.7,1964.93
VO87,75.8,1687.38
MG26,68.5,1818.43
TN62,58.0,2412.2
CH23,72.3,1579.15
