Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
The Green Knight,6.6,2021,R,Adventure,David Lowery,Dev PatelAlicia VikanderJoel Edgerton,85.0,130.0
Star Wars: The Clone Wars,5.9,2008,PG,Animation,Dave Filoni,Matt Lanter,35.0,98.0
A Quiet Place,7.5,2018,PG-13,Drama,John Krasinski,Bryan WoodsScott BeckJohn Krasinski,82.0,90.0
RiffTrax: Firehead,7.6,2013,Other,Action,Bill Corbett,Daniel RadcliffeEmma WatsonRupert Grint,66.0,80.0
The Great Dictator,8.4,1940,G,Comedy,Charles Chaplin,Charles ChaplinPaulette GoddardJack Oakie,66.0,125.0
Korengal,6.7,2014,R,Documentary,Sebastian Junger,LaMonta CaldwellMiguel CortezStephen Gillespie,67.0,84.0
3 Idiots,8.4,2009,PG-13,Comedy,Rajkumar Hirani,Abhijat JoshiRajkumar HiraniVidhu Vinod Chopra,67.0,170.0
Chicken Run,7.1,2000,G,Animation,Peter Lord,Mel Gibson,88.0,84.0
Get on the Bus,6.9,1996,R,Adventure,Spike Lee,Ossie DavisCharles S. DuttonAndre Braugher,84.0,120.0
Restoration,6.6,1995,R,Biography,Michael Hoffman,Robert Downey Jr.Sam NeillDavid Thewlis,66.0,117.0
Dumbo,7.2,1941,G,Animation,Samuel Armstrong,Sterling Holloway,96.0,64.0
Avengers: Endgame,8.4,2019,PG-13,Action,Anthony Russo,Christopher MarkusStephen McFeelyStan Lee,78.0,181.0
Dark Waters,7.6,2019,PG-13,Biography,Todd Haynes,Mark RuffaloAnne HathawayTim Robbins,73.0,126.0
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien,73.0,116.0
Zootopia,8.0,2016,PG,Animation,Byron Howard,Byron HowardRich MooreJared Bush,78.0,108.0
Newsfront,6.9,1978,PG,Drama,Phillip Noyce,Phillip NoyceBob EllisDavid Elfick,66.0,110.0
Wild America,6.4,1997,PG,Action,William Dear,Jonathan Taylor Thomas,57.1,106.0
Grand View Blvd.,8.0,2017,R,Comedy,Spencer McCall,Haley WhoBoston BlakeMikey Effie,66.0,116.3
Finding Neverland,7.7,2004,PG,Biography,Marc Forster,Johnny Depp,67.0,106.0
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77.0,104.0
10 Lives,5.9,2024,Other,Animation,Christopher Jenkins,Mo Gilligan,57.1,88.0
Autumn and the Black Jaguar,5.6,2024,PG,Adventure,Gilles de Maistre,Emily Bett Rickards,57.1,100.0
The Beginning of the End of the World,5.8,1971,R,Documentary,Vincent Price,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Billie Eilish: The World's a Little Blurry,7.7,2021,R,Documentary,R.J. Cutler,Billie EilishFinneas O'ConnellMaggie Baird,70.0,140.0
Octopus,6.9,1998,R,Musical,Gou Suzuki,Miyako MaedaKakinuma TakeshiKiyomi Itô,66.0,116.3
The 33,6.9,2015,PG-13,Biography,Patricia Riggen,Mikko AlanneCraig BortenMichael Thomas,55.0,127.0
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46.0,115.0
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80.0,114.0
Steve Jobs,7.2,2015,R,Biography,Danny Boyle,Michael FassbenderKate WinsletSeth Rogen,82.0,122.0
Jumanji,7.1,1995,PG,Adventure,Joe Johnston,Jonathan HensleighGreg TaylorJim Strain,39.0,104.0
Beetlejuice Beetlejuice,7.1,2024,R,Comedy,Tim Burton,Alfred GoughMiles MillarSeth Grahame-Smith,66.9,116.3
Nightwatch: Demons Are Forever,6.0,2023,Not Rated,Horror,Ole Bornedal,Fanny Leander BornedalNikolaj Coster-WaldauAlex Høgh Andersen,50.0,110.0
Tucker: The Man and His Dream,6.9,1988,PG,Biography,Francis Ford Coppola,Jeff BridgesJoan AllenMartin Landau,76.0,110.0
The Baader Meinhof Complex,7.3,2008,R,Action,Uli Edel,Martina GedeckMoritz BleibtreuJohanna Wokalek,76.0,150.0
The Elephant Man,8.2,1980,PG,Biography,David Lynch,Christopher De VoreEric BergrenDavid Lynch,78.0,124.0
Dog Gone,6.1,2023,Other,Biography,Stephen Herek,Rob Lowe,42.0,95.0
Call + Response,7.4,2008,PG-13,Documentary,Justin Dillon,Madeleine AlbrightKevin BalesDavid Batstone,43.0,86.0
Saut min el madi,7.4,1956,R,Drama,Atef Salem,Ahmed RamzyImaneAbdulwareth Asar,66.0,116.3
The Jungle Book,7.4,2016,PG,Animation,Jon Favreau,Neel Sethi,77.0,106.0
Judas and the Black Messiah,7.4,2021,R,Biography,Shaka King,Will BersonShaka KingKenneth Lucas,84.0,126.0
The Coming,6.2,1981,R,Drama,Craig Lahiff,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Angels in the Outfield,6.2,1994,PG,Comedy,William Dear,Danny Glover,44.0,102.0
Atlantis: The Lost Empire,6.9,2001,PG,Animation,Gary Trousdale,Michael J. Fox,52.0,95.0
The Crow,7.5,1994,R,Action,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,71.0,102.0
The Cabin in the Woods,7.0,2011,R,Horror,Drew Goddard,Kristen ConnollyChris HemsworthAnna Hutchison,72.0,95.0
The Lego Movie,7.7,2014,PG,Animation,Phil Lord,Chris Pratt,83.0,100.0
Transolar Galactica,7.9,2011,R,Comedy,Adam Harum,Adam C. BoydClancy BundyBrian Gurnett,66.0,116.3
Nancy Drew,5.9,2007,PG,Comedy,Andrew Fleming,Emma Roberts,53.0,99.0
House Arrest,5.8,1996,PG,Comedy,Harry Winer,Jamie Lee Curtis,57.1,108.0
Mahler,7.0,1974,PG,Biography,Ken Russell,Robert PowellGeorgina HaleLee Montague,66.0,115.0
The Judge,7.4,2014,R,Crime,David Dobkin,Nick SchenkBill DubuqueDavid Dobkin,48.0,141.0
Balloon,7.5,2018,PG-13,Drama,Michael Herbig,Friedrich MückeKaroline SchuchDavid Kross,53.0,125.0
Miracle on 34th Street,6.6,1994,PG,Drama,Les Mayfield,Richard Attenborough,57.1,114.0
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57.0,92.0
Embers of the Sky,6.3,2010,R,Drama,Justin Calen-Chenn,Hayley J WilliamsMaria OlsenRowena Sumner,66.0,116.3
BlackBerry,7.4,2023,R,Biography,Matt Johnson,Jacquie McNishSean SilcoffMatt Johnson,78.0,120.0
Scream VI,6.5,2023,R,Horror,Matt Bettinelli-Olpin,Courteney CoxMelissa BarreraJenna Ortega,61.0,122.0
Home on the Range,5.4,2004,PG,Animation,Will Finn,Judi Dench,50.0,76.0
Fantastic Beasts: The Secrets of Dumbledore,6.2,2022,PG-13,Adventure,David Yates,Eddie Redmayne,47.0,142.0
We're the Millers,7.0,2013,R,Comedy,Rawson Marshall Thurber,"Bob FisherSteve , FaberSean Anders",44.0,110.0
Halloween... The Happy Haunting of America!,7.0,1997,R,Documentary,Daniel Roebuck,Daniel RoebuckBob BurnsHenry Alvarez,66.0,116.3
The Messenger: The Story of Joan of Arc,6.4,1999,R,Adventure,Luc Besson,Milla JovovichJohn MalkovichRab Affleck,54.0,148.0
Earth Without War,6.6,2017,R,Sci-Fi,J. Carlos Portela,Swaylee LoughnaneLee WestwickDaniel Eghan,66.0,116.3
Beetlejuice,7.5,1988,PG,Comedy,Tim Burton,Michael McDowellLarry WilsonWarren Skaaren,71.0,92.0
Poor Things,7.9,2023,R,Comedy,Yorgos Lanthimos,Emma StoneMark RuffaloWillem Dafoe,88.0,141.0
D2: The Mighty Ducks,6.1,1994,PG,Comedy,Sam Weisman,Emilio Estevez,57.1,106.0
Enron: The Smartest Guys in the Room,7.6,2005,R,Documentary,Alex Gibney,John BeardTim BeldenBarbara Boxer,66.0,110.0
The Kid,8.2,1921,Other,Comedy,Charles Chaplin,Charles Chaplin,57.1,68.0
Royal Paintbox,7.5,2013,G,Documentary,Margy Kinmonth,Daniel RadcliffeEmma WatsonRupert Grint,66.0,71.0
Sapphire Blue,6.2,2014,R,Action,Felix Fuchssteiner,Josefine PreußFlorian BartholomäiKarl Walter Sprungala,66.0,116.3
Atrophy,7.8,2018,R,Sci-Fi,Jason Slingerland,Chadwick SuttonHannah DanielZechariah Metzler,66.0,116.3
The Promised Land,7.7,2023,R,Action,Nikolaj Arcel,Mads MikkelsenAmanda CollinSimon Bennebjerg,77.0,127.0
Munich,7.5,2005,R,Action,Steven Spielberg,Eric BanaDaniel CraigMarie-Josée Croze,74.0,164.0
Sweet Dreams,7.0,1985,PG-13,Biography,Karel Reisz,Jessica LangeEd HarrisAnn Wedgeworth,65.0,115.0
3 Ninjas: Knuckle Up,4.3,1995,PG-13,Action,Shin Sang-ok,Victor Wong,39.0,85.0
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74.0,148.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
Soul Surfer,7.0,2011,PG,Biography,Sean McNamara,AnnaSophia Robb,53.0,112.0
Rango,7.3,2011,PG,Animation,Gore Verbinski,Johnny Depp,75.0,107.0
A Royal Affair,7.5,2012,R,Biography,Nikolaj Arcel,Alicia VikanderMads MikkelsenMikkel Boe Følsgaard,73.0,137.0
The Canterbury Tales,6.3,1972,NC-17,Comedy,Pier Paolo Pasolini,Hugh GriffithLaura BettiNinetto Davoli,66.0,111.0
Dark Paradox,6.2,2007,Not Rated,Horror,Brian Clement,Chuck DepapeBronwyn LeeMichael Ian Farrell,66.0,89.0
Probable Robot,6.8,2015,R,Comedy,Karyn Ben Singer,Jonathan MedinaJeremy RussellEmily Decker,66.0,116.3
Desolate,7.0,2013,Not Rated,Drama,Rob Grant,Daniel RadcliffeEmma WatsonRupert Grint,66.0,77.0
Tomorrowland,6.4,2015,PG,Action,Brad Bird,Damon LindelofBrad BirdJeff Jensen,60.0,130.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Amy Poehler,94.0,95.0
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101.0
Monster,4.6,2023,Other,Horror,Rako Prijanto,Marsha TimothyAlex AbbadAnantya Kirana,66.9,86.0
A Wrinkle in Time,4.3,2018,PG,Adventure,Ava DuVernay,Storm Reid,53.0,109.0
Why We Ride,7.5,2013,PG,Documentary,Bryan H. Carroll,Bryan H. CarrollChris HampelJames C. Walker,66.0,89.0
Spy Kids 2: Island of Lost Dreams,5.3,2002,PG,Action,Robert Rodriguez,Alexa PenaVega,66.0,100.0
